,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,
Jean-Philippe Mateta,"€ 56,619","€ 2,944,177","€ 2,944,177",F,26,France,Crystal Palace
Marc Guéhi,"€ 56,619","€ 2,944,177","€ 2,944,177",D,23,England,Crystal Palace
Nathaniel Clyne,"€ 56,619","€ 2,944,177","€ 2,944,177",D,32,England,Crystal Palace
Will Hughes,"€ 56,619","€ 2,944,177","€ 2,944,177",M,29,England,Crystal Palace
Beto,"€ 56,619","€ 2,944,177","€ 2,944,177",F,26,Portugal,Everton
Andreas Pereira,"€ 56,619","€ 2,944,177","€ 2,944,177",F,28,Brazil,Fulham
Antonee Robinson,"€ 56,619","€ 2,944,177","€ 2,944,177",D,26,United States,Fulham
Harrison Reed,"€ 56,619","€ 2,944,177","€ 2,944,177",M,29,England,Fulham
Kenny Tete,"€ 56,619","€ 2,944,177","€ 2,944,177",D,28,Netherlands,Fulham
Wataru Endo,"€ 56,619","€ 2,944,177","€ 2,944,177",M,30,Japan,Liverpool
Albert Sambi Lokonga,"€ 56,619","€ 2,944,177","€ 2,944,177",M,24,Belgium,Luton Town
Jérémy Doku,"€ 56,619","€ 2,944,177","€ 2,944,177",F,21,Belgium,Manchester City
Oscar Bobb,"€ 56,619","€ 2,944,177","€ 2,944,177",F,20,Norway,Manchester City
Alejandro Garnacho,"€ 56,619","€ 2,944,177","€ 2,944,177",F,19,Argentina,Manchester United
Mason Greenwood,"€ 56,619","€ 2,944,177","€ 2,944,177",F,21,England,Manchester United
Sean Longstaff,"€ 56,619","€ 2,944,177","€ 2,944,177",M,26,England,Newcastle
Tino Livramento,"€ 56,619","€ 2,944,177","€ 2,944,177",D,21,England,Newcastle
Neco Williams,"€ 56,619","€ 2,944,177","€ 2,944,177",D,22,Wales,Nottingham Forest
Serge Aurier,"€ 56,619","€ 2,944,177","€ 2,944,177",D,30,Cote d'Ivoire,Nottingham Forest
Taiwo Awoniyi,"€ 56,619","€ 2,944,177","€ 2,944,177",F,26,Nigeria,Nottingham Forest
Aaron Cresswell,"€ 56,619","€ 2,944,177","€ 2,944,177",D,34,England,West Ham
Konstantinos Mavropanos,"€ 56,619","€ 2,944,177","€ 2,944,177",D,26,Greece,West Ham
